t,x,x_err,y,y_err
2010.624,129.7,0.7,-308.7,0.7
2010.627,130.3,0.8,-308.8,0.8
2010.676,130.4,1.5,-308.8,1.5
2010.679,130.6,0.8,-308.3,0.8
2011.238,140.3,1.2,-307.9,1.3
2011.241,139.8,3.0,-307.2,3.1
2011.244,142.3,1.8,-310.5,1.8
2011.249,141.7,1.0,-309.9,1.0
2011.312,142.9,1.1,-309.8,1.1
2011.313,144.2,1.1,-310.2,1.1
2011.315,142.5,1.1,-309.7,1.1
2011.337,143.7,0.9,-310.0,0.9
2011.443,145.3,1.0,-310.2,1.0
2011.553,146.2,2.1,-308.6,2.2
2011.613,148.8,1.3,-310.6,1.3
2011.689,149.1,1.7,-311.9,1.9
2011.695,150.6,1.3,-311.1,1.4
2011.695,150.4,1.7,-310.0,1.7
2011.698,150.4,1.1,-310.6,1.2
2011.722,150.5,1.3,-310.9,1.4
2012.339,160.9,1.2,-310.9,1.3
2012.497,164.4,1.6,-311.1,1.8
2012.533,164.0,1.5,-311.7,1.7
2012.544,164.9,1.6,-311.8,1.8
2012.552,164.4,1.5,-310.3,1.6
2012.552,165.4,1.4,-310.0,1.6
2012.604,165.6,1.7,-311.7,1.8
2012.700,167.5,1.3,-311.5,1.4
2013.161,175.1,1.6,-309.5,1.8
2013.240,176.4,1.1,-308.7,1.2
2013.317,176.6,1.5,-309.8,1.7
2013.366,177.9,1.2,-308.7,1.3
2013.420,179.3,1.1,-307.5,1.2
2013.437,179.7,1.9,-310.5,2.1
2013.494,179.8,1.3,-308.2,1.4
2013.502,179.8,1.6,-308.5,1.7
2013.587,181.6,1.2,-308.1,1.2
2013.617,181.4,1.6,-308.4,1.6
2015.432,210.1,0.7,-298.4,0.7
2015.517,211.3,1.6,-297.7,1.6
2015.706,213.8,1.3,-296.3,1.2
2015.747,213.9,1.0,-296.1,1.0
2016.221,220.2,0.7,-293.4,0.7
2016.287,221.5,0.9,-293.0,0.9
2016.325,222.0,1.5,-292.3,1.5
2016.525,224.8,0.8,-290.5,0.8
2016.530,224.7,0.9,-291.3,0.9
